flight_id,date,carrier,origin,dest,sched_dep_local,delay_risk,delayed_15,delay_cause,prev_arr_delay_min,turnaround_buffer_min,inbound_delay_after_buffer_min,snowfall_cm,precip_mm,wind_gust_kmh,departures_origin_hour,origin_hour_congestion_pctile
2015-01-11_UA1160,2015-01-11,UA,ORD,SFO,20:20,0.7471010937005257,1,weather,0.0,,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_AA335,2015-01-11,AA,ORD,TUS,19:45,0.7469364808091414,1,weather,67.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_NK295,2015-01-11,NK,ORD,IAH,20:20,0.746739138554387,1,nas,29.0,,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_MQ3019,2015-01-11,MQ,ORD,OKC,21:50,0.7456961406446131,1,late_aircraft,68.0,156.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_UA690,2015-01-11,UA,ORD,LGA,19:04,0.7455858645297528,1,weather,1.0,181.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_MQ3201,2015-01-11,MQ,ORD,BNA,20:05,0.7454266833156417,1,weather,-4.0,201.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_MQ3383,2015-01-11,MQ,ORD,XNA,19:35,0.7435686741747553,1,nas,4.0,212.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_MQ2933,2015-01-11,MQ,ORD,EVV,20:15,0.7432893192425133,1,nas,0.0,,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_MQ3676,2015-01-11,MQ,ORD,LEX,19:10,0.7431330491790343,0,nas,3.0,480.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_MQ3280,2015-01-11,MQ,ORD,RST,20:05,0.7413683955925298,1,nas,0.0,2.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_MQ3625,2015-01-11,MQ,ORD,CID,21:25,0.7408490497041705,1,weather,52.0,117.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_MQ3107,2015-01-11,MQ,ORD,GRR,21:10,0.7403751765353328,1,nas,124.0,224.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_MQ3673,2015-01-11,MQ,ORD,CMI,20:35,0.7401241944591141,1,nas,0.0,,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_OO2644,2015-01-11,OO,ORD,CHO,20:10,0.7400339594993679,0,nas,73.0,,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_MQ3039,2015-01-11,MQ,ORD,ALO,20:10,0.7396339686689724,1,weather,0.0,189.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_UA1591,2015-01-11,UA,ORD,LAX,20:16,0.7394784099474492,1,none,-11.0,311.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_EV5973,2015-01-11,EV,ORD,TUL,20:05,0.7393967130638608,1,late_aircraft,50.0,231.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-10_MQ3107,2015-01-10,MQ,ORD,GRR,19:10,0.7382892229142091,1,late_aircraft,56.0,104.0,0.0,0.0,0.0,34.6,38,0.17792159069592947
2015-01-11_MQ3124,2015-01-11,MQ,ORD,TVC,19:55,0.7380819856967169,1,nas,0.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_MQ3174,2015-01-11,MQ,ORD,LIT,21:55,0.7373271238180824,1,weather,37.0,175.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_UA1535,2015-01-11,UA,ORD,SNA,20:01,0.737013679010339,0,none,-15.0,226.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_UA1136,2015-01-11,UA,ORD,IAH,20:15,0.7370053874552772,1,weather,-1.0,,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_MQ3421,2015-01-11,MQ,ORD,FNT,21:25,0.7364507843738995,1,weather,66.0,340.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_AA2353,2015-01-11,AA,ORD,DFW,20:30,0.7338562976653031,1,nas,0.0,,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_AA149,2015-01-11,AA,ORD,JFK,19:35,0.7336029967039643,1,weather,5.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-10_MQ3025,2015-01-10,MQ,ORD,DSM,16:05,0.7329512091668167,1,late_aircraft,46.0,94.0,0.0,0.0,0.0,34.6,45,0.31804539486025135
2015-01-11_UA1617,2015-01-11,UA,ORD,MSP,19:35,0.7322290011677529,1,weather,10.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_AA1118,2015-01-11,AA,ORD,PBI,19:05,0.7318885419031205,1,late_aircraft,4.0,221.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_EV4237,2015-01-11,EV,ORD,JAN,20:05,0.7305453528225364,0,nas,4.0,,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_EV6113,2015-01-11,EV,ORD,CAE,19:08,0.729580402954783,1,nas,10.0,183.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_MQ2971,2015-01-11,MQ,ORD,MLI,19:55,0.7280272156084201,0,nas,7.0,298.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_UA1284,2015-01-11,UA,ORD,DSM,20:18,0.7278648610182787,1,weather,-7.0,244.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_MQ3068,2015-01-11,MQ,ORD,CMH,19:45,0.727846380625773,0,nas,-3.0,200.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_AS21,2015-01-11,AS,ORD,SEA,19:30,0.7273954751624606,1,late_aircraft,0.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_AA41,2015-01-11,AA,ORD,SEA,20:50,0.7273770122382074,1,weather,-2.0,189.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_AA1009,2015-01-11,AA,ORD,LAX,20:25,0.7256475358149472,1,weather,24.0,323.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_AA288,2015-01-11,AA,ORD,BOS,20:05,0.7246533634172264,1,weather,-1.0,,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_EV4726,2015-01-11,EV,ORD,CAK,19:34,0.7237999018151179,1,nas,0.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_AA1398,2015-01-11,AA,ORD,AUS,20:55,0.7231213183951414,1,carrier,-8.0,,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_MQ3319,2015-01-11,MQ,ORD,CMI,19:05,0.7225880510979733,1,nas,-26.0,178.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_OO6437,2015-01-11,OO,ORD,DFW,20:05,0.7223666949240646,0,nas,2.0,148.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_OO6384,2015-01-11,OO,ORD,COS,20:20,0.7222080107241792,0,nas,2.0,128.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_EV3942,2015-01-11,EV,ORD,ROA,20:00,0.7218522845521143,1,carrier,0.0,158.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_AA1384,2015-01-11,AA,ORD,MSP,20:55,0.7203902224441039,1,weather,0.0,,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_EV3943,2015-01-11,EV,ORD,MCI,20:45,0.7199412338728295,0,carrier,9.0,447.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_UA263,2015-01-11,UA,ORD,MSP,20:20,0.7197606137879217,1,weather,-15.0,269.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_AA1617,2015-01-11,AA,ORD,LAX,19:15,0.7187447792492917,1,weather,-18.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_DL1777,2015-01-11,DL,ORD,ATL,19:15,0.7186728739321697,0,nas,126.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-10_MQ3413,2015-01-10,MQ,ORD,DTW,15:10,0.7172261050603733,1,weather,50.0,182.0,0.0,0.0,0.0,35.3,42,0.2893453385856312
2015-01-11_MQ3084,2015-01-11,MQ,ORD,CMH,21:30,0.7169322031089663,1,weather,-2.0,453.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_OO2641,2015-01-11,OO,ORD,ICT,19:25,0.7150333727933355,1,carrier,0.0,96.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_MQ3442,2015-01-11,MQ,ORD,CMI,21:25,0.7144548053068158,1,nas,0.0,453.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-10_MQ2951,2015-01-10,MQ,ORD,DSM,19:45,0.7126561867045058,1,late_aircraft,58.0,200.0,0.0,0.0,0.0,34.6,38,0.17792159069592947
2015-01-11_UA545,2015-01-11,UA,ORD,BOS,21:15,0.7106167761183095,1,weather,-7.0,287.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-10_MQ3435,2015-01-10,MQ,ORD,HPN,18:50,0.7102742409005869,0,none,32.0,,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-11_AA346,2015-01-11,AA,ORD,LGA,19:55,0.7094723619626101,1,weather,-25.0,446.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_AA2376,2015-01-11,AA,ORD,PHX,20:05,0.7087519034893867,1,weather,-6.0,232.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_MQ3013,2015-01-11,MQ,ORD,CVG,21:05,0.7056266897243356,1,late_aircraft,-5.0,402.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_EV4234,2015-01-11,EV,ORD,PVD,19:22,0.7055038108721078,0,nas,-20.0,157.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_EV5984,2015-01-11,EV,ORD,SGF,20:05,0.7050536089562994,1,carrier,-16.0,207.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_OO2637,2015-01-11,OO,ORD,MKE,19:45,0.7041716545547909,0,nas,0.0,77.0,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-10_MQ3280,2015-01-10,MQ,ORD,RST,19:15,0.7032808749090923,1,weather,24.0,126.0,0.0,0.0,0.0,34.6,38,0.17792159069592947
2015-01-11_F91285,2015-01-11,F9,ORD,LAS,21:35,0.7028243278826409,1,late_aircraft,228.0,215.0,13.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_AA1587,2015-01-11,AA,ORD,LAS,21:25,0.7022821133805278,1,weather,16.0,203.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_NK968,2015-01-11,NK,ORD,BWI,21:04,0.7008983478157284,1,carrier,18.0,453.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_MQ3003,2015-01-11,MQ,ORD,MSN,18:05,0.7008742601141916,1,nas,82.0,176.0,0.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-11_UA344,2015-01-11,UA,ORD,CLE,21:15,0.6998339708060477,1,weather,-12.0,,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-10_MQ3087,2015-01-10,MQ,ORD,XNA,15:00,0.6986810710563719,0,none,84.0,,0.0,0.0,0.0,35.3,42,0.2893453385856312
2015-01-11_OO6258,2015-01-11,OO,ORD,FSD,20:05,0.6975488344198666,0,nas,1.0,137.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_EV6100,2015-01-11,EV,ORD,PIA,20:16,0.6974337572126029,1,nas,-17.0,383.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_AA1331,2015-01-11,AA,ORD,STL,20:20,0.6971633402991172,1,weather,-16.0,228.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_AA1235,2015-01-11,AA,ORD,DEN,21:15,0.696556465762883,1,weather,0.0,,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-10_UA672,2015-01-10,UA,ORD,SFO,16:15,0.6955894878684157,1,none,41.0,100.0,0.0,0.0,0.0,34.6,45,0.31804539486025135
2015-01-11_NK763,2015-01-11,NK,ORD,MSP,19:52,0.6955603592880465,0,none,-26.0,,0.0,0.28,0.4,16.9,38,0.17792159069592947
2015-01-11_OO6213,2015-01-11,OO,ORD,FAR,20:05,0.6944554318010397,0,nas,-5.0,440.0,0.0,0.28,0.4,16.6,52,0.6072969424123054
2015-01-11_OO5351,2015-01-11,OO,ORD,CMX,21:18,0.6943090983426441,0,nas,23.0,,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_MQ3413,2015-01-11,MQ,ORD,DTW,15:10,0.6935239961786157,1,weather,89.0,182.0,0.0,0.0,0.0,22.0,54,0.6468767585818795
2015-01-11_OO5205,2015-01-11,OO,ORD,DCA,21:00,0.6918822547241067,1,nas,64.0,,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-10_MQ3124,2015-01-10,MQ,ORD,TVC,19:55,0.6917725983479553,0,none,27.0,188.0,0.0,0.0,0.0,34.6,38,0.17792159069592947
2015-01-11_AA1402,2015-01-11,AA,ORD,RDU,21:10,0.6910671640199365,1,weather,-7.0,234.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_EV5905,2015-01-11,EV,ORD,LAN,21:05,0.6870441281204702,0,nas,15.0,,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_OO5378,2015-01-11,OO,ORD,PAH,21:00,0.6864070175447265,1,late_aircraft,33.0,187.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-10_MQ3003,2015-01-10,MQ,ORD,MSN,18:30,0.6860963258713563,0,nas,16.0,129.0,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-11_EV6038,2015-01-11,EV,ORD,CLT,21:05,0.6854752326470885,1,late_aircraft,-2.0,,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_NK853,2015-01-11,NK,ORD,DEN,21:40,0.6847068800784132,1,late_aircraft,-14.0,,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_OO5589,2015-01-11,OO,ORD,ORF,21:00,0.6835578084354037,1,carrier,1.0,,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-10_UA1620,2015-01-10,UA,ORD,LGA,19:45,0.6832553171344854,1,carrier,27.0,57.0,0.0,0.0,0.0,34.6,38,0.17792159069592947
2015-01-11_NK167,2015-01-11,NK,ORD,PHX,21:15,0.6830660357762933,0,none,4.0,,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-10_EV4755,2015-01-10,EV,ORD,CAE,19:35,0.6806185137716693,1,late_aircraft,54.0,90.0,0.0,0.0,0.0,34.6,38,0.17792159069592947
2015-01-11_MQ3435,2015-01-11,MQ,ORD,HPN,18:50,0.6773408065188988,1,weather,71.0,,0.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-11_AA156,2015-01-11,AA,ORD,SAN,21:25,0.6768062657820717,1,carrier,-27.0,458.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-10_EV4713,2015-01-10,EV,ORD,ERI,16:47,0.6764244266669854,1,late_aircraft,61.0,79.0,0.0,0.0,0.0,34.6,45,0.31804539486025135
2015-01-11_OO5407,2015-01-11,OO,ORD,SPI,21:05,0.67633693176778,1,carrier,0.0,122.0,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-11_MQ3694,2015-01-11,MQ,ORD,FWA,12:00,0.6762878320082312,1,late_aircraft,41.0,64.0,0.0,0.0,0.0,25.6,44,0.30547739636090787
2015-01-10_MQ2975,2015-01-10,MQ,ORD,HSV,20:20,0.6739980711028205,1,nas,150.0,,0.0,0.0,0.0,34.6,30,0.06706058900769087
2015-01-11_UA278,2015-01-11,UA,ORD,MDT,18:35,0.6710577806413316,1,late_aircraft,78.0,159.0,0.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-10_NK903,2015-01-10,NK,ORD,DFW,18:45,0.667587026153482,1,late_aircraft,61.0,184.0,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-11_MQ3274,2015-01-11,MQ,ORD,CVG,15:30,0.6671465450189625,0,none,64.0,,0.0,0.0,0.0,22.0,54,0.6468767585818795
2015-01-11_MQ3178,2015-01-11,MQ,ORD,CMH,18:40,0.6670529258139457,1,nas,30.0,266.0,0.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-10_MQ3618,2015-01-10,MQ,ORD,LIT,15:10,0.6664480057029244,1,weather,19.0,201.0,0.0,0.0,0.0,35.3,42,0.2893453385856312
2015-01-10_UA685,2015-01-10,UA,ORD,SFO,18:03,0.66644620990391,1,carrier,52.0,,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-10_MQ3126,2015-01-10,MQ,ORD,EVV,13:10,0.6636052167399601,0,none,128.0,,0.0,0.0,0.0,39.2,63,0.8181391858938285
2015-01-10_MQ3185,2015-01-10,MQ,ORD,COU,19:55,0.6624154062252613,0,nas,23.0,207.0,0.0,0.0,0.0,34.6,38,0.17792159069592947
2015-01-10_MQ3689,2015-01-10,MQ,ORD,CVG,17:05,0.6624069856759336,1,weather,71.0,460.0,0.0,0.0,0.0,32.4,24,0.03442130932282874
2015-01-10_UA1585,2015-01-10,UA,ORD,BDL,19:35,0.6582325035166229,1,carrier,141.0,,0.0,0.0,0.0,34.6,38,0.17792159069592947
2015-01-10_EV3932,2015-01-10,EV,ORD,IND,16:00,0.6578655120249818,1,carrier,46.0,172.0,0.0,0.0,0.0,34.6,45,0.31804539486025135
2015-01-10_UA741,2015-01-10,UA,ORD,SFO,19:41,0.6572543541136213,1,weather,41.0,,0.0,0.0,0.0,34.6,38,0.17792159069592947
2015-01-11_MQ2970,2015-01-11,MQ,ORD,FAR,15:00,0.6570165323692955,0,none,23.0,147.0,0.0,0.0,0.0,22.0,54,0.6468767585818795
2015-01-11_UA472,2015-01-11,UA,ORD,ALB,18:55,0.6563801996244533,1,weather,365.0,,180.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-10_MQ3611,2015-01-10,MQ,ORD,BUF,17:10,0.6557574706366672,1,carrier,43.0,308.0,0.0,0.0,0.0,32.4,24,0.03442130932282874
2015-01-10_AA87,2015-01-10,AA,ORD,RNO,18:55,0.6525460931943645,1,late_aircraft,93.0,184.0,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-10_MQ3457,2015-01-10,MQ,ORD,ROC,15:20,0.6522059123537554,1,weather,22.0,151.0,0.0,0.0,0.0,35.3,42,0.2893453385856312
2015-01-11_MQ3297,2015-01-11,MQ,ORD,TOL,16:45,0.6493632542451475,1,weather,23.0,120.0,0.0,0.0,0.0,20.9,51,0.5639654848996436
2015-01-11_MQ3611,2015-01-11,MQ,ORD,BUF,17:10,0.6492404169015606,1,nas,196.0,291.0,0.0,0.0,0.0,19.4,52,0.6072969424123054
2015-01-10_OO6395,2015-01-10,OO,ORD,COS,18:00,0.648108657816073,1,late_aircraft,148.0,,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-10_OO5233,2015-01-10,OO,ORD,ASE,18:10,0.6478541583255445,0,none,173.0,,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-10_UA1552,2015-01-10,UA,ORD,IAD,16:18,0.6472029616916355,1,carrier,172.0,,0.0,0.0,0.0,34.6,45,0.31804539486025135
2015-01-10_OO6198,2015-01-10,OO,ORD,BOI,18:00,0.6470362886777395,0,nas,160.0,,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-11_UA1681,2015-01-11,UA,ORD,TPA,18:15,0.6461872985374922,1,weather,56.0,,0.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-10_MQ3469,2015-01-10,MQ,ORD,FSD,15:25,0.6458846117646582,1,weather,24.0,172.0,0.0,0.0,0.0,35.3,42,0.2893453385856312
2015-01-11_MQ3228,2015-01-11,MQ,ORD,LSE,12:35,0.6454437379978463,0,none,209.0,,24.0,0.0,0.0,25.6,44,0.30547739636090787
2015-01-11_UA1084,2015-01-11,UA,ORD,EWR,16:02,0.6450173267211935,0,none,197.0,,12.0,0.0,0.0,20.9,51,0.5639654848996436
2015-01-11_UA1233,2015-01-11,UA,ORD,BOS,18:10,0.6445287178937243,1,weather,32.0,,0.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-11_OO6449,2015-01-11,OO,ORD,SLC,18:00,0.6433386845764791,0,nas,232.0,,47.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-10_MQ3155,2015-01-10,MQ,ORD,CMI,13:10,0.6431240792207354,1,late_aircraft,34.0,149.0,0.0,0.0,0.0,39.2,63,0.8181391858938285
2015-01-11_AA1008,2015-01-11,AA,ORD,RSW,18:45,0.6426835097969757,1,weather,193.0,,8.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-10_B61106,2015-01-10,B6,ORD,JFK,18:40,0.6420147763478397,0,none,37.0,,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-11_UA1620,2015-01-11,UA,ORD,LGA,16:00,0.6397876348404826,0,none,69.0,,0.0,0.0,0.0,20.9,51,0.5639654848996436
2015-01-10_OO4995,2015-01-10,OO,ORD,SBN,18:10,0.638595499213831,1,nas,60.0,341.0,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-10_UA1622,2015-01-10,UA,ORD,PHL,19:35,0.6379713530329357,1,late_aircraft,32.0,,0.0,0.0,0.0,34.6,38,0.17792159069592947
2015-01-11_OO6395,2015-01-11,OO,ORD,COS,18:00,0.6378988661350344,1,late_aircraft,107.0,253.0,0.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-11_AA1459,2015-01-11,AA,ORD,SFO,18:15,0.636775281543773,1,none,75.0,236.0,0.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-11_MQ2907,2015-01-11,MQ,ORD,CVG,18:40,0.636391739656065,1,nas,0.0,,0.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-11_US759,2015-01-11,US,ORD,CLT,21:00,0.6362533308596303,0,nas,-20.0,,0.0,0.21,0.3,16.2,38,0.17792159069592947
2015-01-10_OO5236,2015-01-10,OO,ORD,MSP,18:10,0.6358477006442589,1,late_aircraft,107.0,223.0,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-10_OO5403,2015-01-10,OO,ORD,MKG,16:06,0.6351417338529011,0,nas,64.0,242.0,0.0,0.0,0.0,34.6,45,0.31804539486025135
2015-01-10_UA1196,2015-01-10,UA,ORD,CMH,19:35,0.6336938081925757,0,none,27.0,,0.0,0.0,0.0,34.6,38,0.17792159069592947
2015-01-11_UA1041,2015-01-11,UA,ORD,CLE,16:30,0.633091764811732,1,none,105.0,,0.0,0.0,0.0,20.9,51,0.5639654848996436
2015-01-10_UA1460,2015-01-10,UA,ORD,EWR,15:02,0.6329049778622424,1,none,186.0,,1.0,0.0,0.0,35.3,42,0.2893453385856312
2015-01-10_AA1459,2015-01-10,AA,ORD,SFO,18:15,0.6317920047868145,1,weather,106.0,,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-10_MQ3139,2015-01-10,MQ,ORD,DBQ,21:50,0.6314841603915378,0,none,150.0,,0.0,0.0,0.0,36.0,10,0.020165072219095855
2015-01-11_UA368,2015-01-11,UA,ORD,PHL,16:00,0.6305402370477311,0,none,57.0,,0.0,0.0,0.0,20.9,51,0.5639654848996436
2015-01-10_MQ3037,2015-01-10,MQ,ORD,PIA,21:30,0.6304014628436725,1,weather,89.0,,0.0,0.0,0.0,36.0,10,0.020165072219095855
2015-01-10_MQ3606,2015-01-10,MQ,ORD,DTW,20:50,0.6302353917376788,1,weather,19.0,387.0,0.0,0.0,0.0,34.6,30,0.06706058900769087
2015-01-10_EV4533,2015-01-10,EV,ORD,DSM,18:00,0.6295767498392787,0,nas,74.0,,0.0,0.0,0.0,34.2,51,0.5639654848996436
2015-01-10_EV6034,2015-01-10,EV,ORD,ELM,16:10,0.6295725039088457,0,none,133.0,,0.0,0.0,0.0,34.6,45,0.31804539486025135
2015-01-10_UA814,2015-01-10,UA,ORD,IAH,15:29,0.6294092058725209,0,none,112.0,,0.0,0.0,0.0,35.3,42,0.2893453385856312
2015-01-11_MQ3606,2015-01-11,MQ,ORD,DTW,18:20,0.6292861893096323,0,nas,12.0,182.0,0.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-10_UA1762,2015-01-10,UA,ORD,SMF,15:26,0.6287053297467519,0,none,177.0,,0.0,0.0,0.0,35.3,42,0.2893453385856312
2015-01-11_MQ3100,2015-01-11,MQ,ORD,MSN,15:00,0.6285825562152507,1,late_aircraft,16.0,127.0,0.0,0.0,0.0,22.0,54,0.6468767585818795
2015-01-11_MQ3229,2015-01-11,MQ,ORD,XNA,18:25,0.6278411042495449,0,nas,-1.0,146.0,0.0,0.07,0.0,17.3,65,0.8659726130181955
2015-01-10_UA1128,2015-01-10,UA,ORD,LAX,15:06,0.6264659723547411,0,none,93.0,,0.0,0.0,0.0,35.3,42,0.2893453385856312
